"ID","StoreOpenYear","YearsSinceRemodel","Cluster","RecommendedServices"
"322","1987","10.0","0","Fresh, Grocery, Starbucks"
"321","1987","9.0","0",""
"2605","2014","","0",""
"3203","2015","","0",""
"2601","2013","","1",""
"3264","2017","","0",""
"3224","2016","","0","Fresh, Grocery"
"1927","2004","15.0","0",""
"1054","1997","15.0","0",""
"323","1987","15.0","0","CVS, pharmacy"
"324","1987","7.0","0",""
"320","1987","15.0","0",""
"1427","2002","15.0","0",""
"1407","2002","9.0","0",""
"641","1992","14.0","1","CVS, pharmacy"
"2252","2007","15.0","0",""
"852","1993","15.0","0",""
"937","1995","15.0","1",""
"2804","2014","","1",""
"2359","2008","14.0","0",""
"1851","2003","7.0","0","Fresh, Grocery, Mobile, Kiosk"
"2795","2012","","0",""
"1143","1998","14.0","1","Beer"
"941","1994","14.0","3",""
"1239","1999","18.0","3","CVS, pharmacy, Mobile, Kiosk, Fresh, Grocery"
"676","1991","14.0","1","Available, Beer"
"317","1987","13.0","3","CVS, pharmacy"
"2306","2007","14.0","0",""
"1062","1997","14.0","0",""
"1363","2001","13.0","1","Available, Beer"
"2744","2014","","0",""
"2472","2008","13.0","0",""
"275","1987","14.0","0","Starbucks"
"911","1996","14.0","0",""
"1417","2002","14.0","0",""
"2018","2005","14.0","0",""
"314","1987","14.0","0","Starbucks"
"358","1988","14.0","0","Starbucks"
"1906","2004","14.0","0",""
"2469","2008","14.0","1",""
"1805","2003","14.0","0","Starbucks"
"615","1989","13.0","1",""
"2349","2007","","2",""
"1120","1998","14.0","1",""
"2420","2008","14.0","1",""
"2759","2011","","1",""
"1384","2001","14.0","0",""
"2715","2009","","0",""
"309","1987","14.0","1",""
"614","1989","14.0","0","Starbucks"
"2524","2010","15.0","0",""
"1421","2004","13.0","0",""
"613","1989","13.0","1",""
"766","1996","13.0","3","CVS, pharmacy, Mobile, Kiosk"
"612","1989","13.0","3",""
"1405","2002","13.0","1","CafePizza"
"2329","2007","15.0","0","Beer, Available, Wine"
"288","1987","15.0","0",""
"299","1987","15.0","0","Starbucks"
"2030","2009","14.0","0",""
"2143","2006","7.0","0",""
"228","1985","8.0","0","Beer, Available, Wine"
"257","1987","14.0","0",""
"2810","2014","","0",""
"246","1987","14.0","0","Starbucks"
"2462","2010","","0",""
"1547","2003","14.0","0",""
"1100","1998","14.0","0",""
"1027","1996","7.0","0",""
"2760","2011","14.0","0",""
"298","1987","14.0","0","Starbucks"
"2398","2008","14.0","0","Beer, Available, Wine"
"905","1994","8.0","3","CVS, pharmacy, Mobile, Kiosk, Fresh, Grocery, Beer, Available, Wine"
"857","1994","13.0","0",""
"906","1994","20.0","3","CVS, pharmacy, Mobile, Kiosk, Fresh, Grocery, Beer, Available, Wine"
"2303","2007","","2",""
"879","1993","13.0","0","CVS, pharmacy, Mobile, Kiosk"
"217","1984","13.0","0",""
"1777","2001","8.0","2",""
"2383","2008","17.0","2",""
"2326","2007","","2",""
"532","1996","25.0","2",""
"856","1994","17.0","0","CVS, pharmacy, Fresh, Grocery, Mobile, Kiosk"
"1537","2003","13.0","3",""
"530","1995","17.0","2",""
"2125","2006","13.0","0",""
"2010","2006","13.0","0","Mobile, Kiosk"
"2454","2009","16.0","0",""
"1800","2003","13.0","0","Starbucks"
"609","1989","13.0","3",""
"608","1989","13.0","1","Starbucks"
"2110","2006","13.0","1",""
"618","1990","19.0","0","CVS, pharmacy, Fresh, Grocery, Mobile, Kiosk, Beer, Available, Starbucks, Wine"
"739","1995","8.0","3","CVS, pharmacy, Fresh, Grocery, Beer, Available, Wine"
"1501","2002","8.0","2","&"
"154","1981","10.0","0","Fresh, Grocery, Beer, Available, Starbucks, Wine"
"2221","2007","","2","&"
"1326","2001","14.0","0","Beer, Available, Wine"
"2219","2006","19.0","2","&"
"2023","2005","","2","&"
"2716","2009","","2","&"
"271","1988","15.0","0","Wine"
"1976","2005","","2","&"
"147","1981","15.0","1",""
"2458","2008","14.0","1","Mobile, Kiosk, Available, Beer"
"1776","2001","14.0","2","Beer, Available, &"
"256","1987","14.0","3","Mobile, Kiosk, Beer, Available, Wine"
"2261","2008","","2","&"
"2820","2013","","0","Wine"
"1413","2002","15.0","3","Wine"
"1806","2003","14.0","2",""
"2717","2011","14.0","0","Wine"
"1471","2002","14.0","2","&"
"1500","2002","14.0","2","&"
"2225","2007","18.0","0","Fresh, Grocery, Beer, Available, Wine"
"2052","2005","7.0","2","&"
"2021","2005","","2","&"
"1525","2003","15.0","1","Starbucks"
"48","1976","15.0","1",""
"1928","2004","","2","&"
